Section,Criteria,Topic1,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Description
Digital Environments,7.5,Cloud Computing,Which type of cloud gives organisations full control over security-,Public cloud,Private cloud,Hybrid mobile storage,Open access cloud,b,Private cloud
Digital Environments,7.5,Cloud Computing,A public cloud is best suited for:,Highly sensitive government data,Scalable general-purpose workloads,Systems that must stay on-prem only,Hardware-dependent legacy software,b,Scalable general-purpose workloads
Digital Environments,7.5,Cloud Computing,Cloud elasticity benefits organisations by:,Increasing fixed hardware needs,Avoiding resource spikes by scaling automatically,Requiring manual server upgrades,Limiting system usage,b,Avoiding resource spikes by scaling automatically
Digital Environments,7.5,Cloud Computing,"Portability, elasticity and cost effectiveness together enable:",Slower cloud adoption,Flexible and scalable deployment models,Mandatory on-site upgrades,Removing virtualisation entirely,b,Flexible and scalable deployment models
Digital Environments,7.5,Cloud Computing,What does IaaS primarily provide-,Full applications,Virtualised hardware resources,Email services,End-user software,b,Virtualised hardware resources
Digital Environments,7.5,Cloud Computing,"In IaaS, who manages the operating system-",Cloud provider,Client,ISP,End user,b,Client
Digital Environments,7.5,Cloud Computing,Which layer does the cloud provider manage in IaaS-,Applications only,User accounts,Virtualisation and hardware,Data backups only,c,Virtualisation and hardware
Digital Environments,7.5,Cloud Computing,Which cloud model gives the client most control-,SaaS,PaaS,IaaS,DaaS,c,IaaS
Digital Environments,7.5,Cloud Computing,A key advantage of IaaS is:,No technical skills required,Full hardware ownership,High flexibility and scalability,Provider manages all software,c,High flexibility and scalability
Digital Environments,7.5,Cloud Computing,A disadvantage of IaaS is:,Least client control,Requires client to manage OS and middleware,Limited scalability,No cost benefits,b,Requires client to manage OS and middleware
Digital Environments,7.5,Cloud Computing,"In PaaS, the client manages:","Applications, data, user accounts",Virtualisation only,Hardware and storage,Runtime and OS,a,"Applications, data, user accounts"
Digital Environments,7.5,Cloud Computing,"In PaaS, the cloud provider manages:",Only storage,Only applications,"Runtime, OS, virtualisation and hardware",User accounts only,c,"Runtime, OS, virtualisation and hardware"
Digital Environments,7.5,Cloud Computing,A major benefit of PaaS is:,No coding needed,Rapid development without OS maintenance,Full control over kernel,Runs without internet,b,Rapid development without OS maintenance
Digital Environments,7.5,Cloud Computing,A disadvantage of PaaS is:,Vendor lock-in risks,Client must manage hardware,Little automation,Requires managing full stack,a,Vendor lock-in risks
Digital Environments,7.5,Cloud Computing,SaaS provides:,Infrastructure only,Platforms for development,Complete software applications,Virtual networks only,c,Complete software applications
Digital Environments,7.5,Cloud Computing,"In SaaS, the client manages:",Applications and runtime,OS and middleware,User accounts and data,Virtualisation and storage,c,User accounts and data
Digital Environments,7.5,Cloud Computing,"In SaaS, the cloud provider manages:",Only hardware,"Software, runtime, OS, virtualisation and hardware",User data only,Local installations,b,"Software, runtime, OS, virtualisation and hardware"
Digital Environments,7.5,Cloud Computing,A major advantage of SaaS is:,No updates required by client,Client controls full stack,On-prem installation required,Complex setup time,a,No updates required by client
Digital Environments,7.5,Cloud Computing,A disadvantage of SaaS is:,High client maintenance,Limited customisation,Client must manage hardware,Code-level access required,b,Limited customisation
Digital Environments,7.5,Cloud Computing,Which model offers the least client responsibility-,IaaS,PaaS,SaaS,None of these,c,SaaS
Digital Environments,7.5,Cloud Computing,Which model requires the client to manage middleware-,IaaS,PaaS,SaaS,DaaS,a,IaaS
Digital Environments,7.5,Cloud Computing,Which model is best for developers building applications quickly-,IaaS,PaaS,SaaS,FaaS,b,PaaS
Digital Environments,7.5,Cloud Computing,Which delivery model provides full control of virtual machines-,SaaS,PaaS,IaaS,BPaaS,c,IaaS
Digital Environments,7.5,Cloud Computing,Which type typically uses subscriptions for hosted apps like email-,IaaS,PaaS,SaaS,Hybrid,c,SaaS
Digital Environments,7.6,Resilient Environments,What is a key security benefit of a resilient environment-,More frequent outages,Reduced vulnerabilities,Increased system complexity,Fewer updates,b,Reduced vulnerabilities
Digital Environments,7.6,Resilient Environments,Data security refers to protecting data during:,File renaming,Storage and transfer,Staff meetings,Application installation,b,Storage and transfer
Digital Environments,7.6,Resilient Environments,Resilient environments help organisations avoid:,Increased vulnerabilities,Brand damage,Customer trust,Faster performance,b,Brand damage
Digital Environments,7.6,Resilient Environments,Reduced downtime leads to:,Longer outages,Loss of customers,Increased customer confidence,Slower service,c,Increased customer confidence
Digital Environments,7.6,Resilient Environments,Why does resilience help protect brand reputation-,More failures,Stable services,Frequent cyberattacks,Complex sign-in processes,b,Stable services
Digital Environments,7.6,Resilient Environments,Organisations with strong resilience are more likely to:,Lose customer trust,Maintain good public image,Increase system failures,Share private data,b,Maintain good public image
Digital Environments,7.6,Resilient Environments,A benefit of resilience is:,More system downtime,Improved customer confidence,Reduced availability,Weaker policies,b,Improved customer confidence
Digital Environments,7.6,Resilient Environments,Resilient environments reduce vulnerabilities by:,Ignoring updates,Applying patches and hardening devices,Disabling firewalls,Allowing all user access,b,Applying patches and hardening devices
Digital Environments,7.6,Resilient Environments,A direct impact of resilience is:,Lower operational continuity,Higher downtime,Improved system reliability,Increased data breaches,c,Improved system reliability
Digital Environments,7.6,Resilient Environments,Why does resilience improve data protection-,Data becomes inaccessible,Security controls are ignored,Systems stay protected during failures,All traffic becomes unencrypted,c,Systems stay protected during failures
Digital Environments,7.6,Resilient Environments,Software updates help resilience by:,Breaking features,Fixing vulnerabilities,Slowing systems,Removing encryption,b,Fixing vulnerabilities
Digital Environments,7.6,Resilient Environments,Planned updates are important because they:,Reduce system stability,Keep systems current,Block access,Increase risk,b,Keep systems current
Digital Environments,7.6,Resilient Environments,Patches respond to:,New vulnerabilities,Network redesign,Failed passwords,Application themes,a,New vulnerabilities
Digital Environments,7.6,Resilient Environments,Rolling hardware replacement helps by:,Keeping failing equipment in use,"Removing old, unreliable devices",Avoiding new technology,Increasing downtime,b,"Removing old, unreliable devices"
Digital Environments,7.6,Resilient Environments,Secure hardware disposal prevents:,Faster downloads,Data leakage,Offline backups,Snapshot failures,b,Data leakage
Digital Environments,7.6,Resilient Environments,Data redundancy means:,Only one copy of data,Multiple recoverable copies,No backups exist,Data stored in RAM only,b,Multiple recoverable copies
Digital Environments,7.6,Resilient Environments,System redundancy ensures:,System failure stops services,One failure does not cause downtime,Reduced availability,Unpredictable behaviour,b,One failure does not cause downtime
Digital Environments,7.6,Resilient Environments,Device hardening includes:,Removing unused ports and services,Installing all possible software,Allowing open network access,Disabling passwords,a,Removing unused ports and services
Digital Environments,7.6,Resilient Environments,Backup systems improve resilience by:,Preventing data restoration,Allowing full recovery after failure,Deleting old backups,Stopping operations,b,Allowing full recovery after failure
Digital Environments,7.6,Resilient Environments,Onsite backups are stored:,Offsite,In the same physical location,In the cloud,On user laptops,b,In the same physical location
Digital Environments,7.6,Resilient Environments,Offsite backups protect against:,Local disasters,Cloud outages,Weak passwords,Slow Wi-Fi,a,Local disasters
Digital Environments,7.6,Resilient Environments,Cloud backups provide:,No recovery options,"Remote, scalable storage",Local-only restoration,Slower backup speeds,b,"Remote, scalable storage"
Digital Environments,7.6,Resilient Environments,A hot site is:,Fully operational and ready immediately,A room with no equipment,A slow recovery location,Offline and unused,a,Fully operational and ready immediately
Digital Environments,7.6,Resilient Environments,A cold site provides:,Full equipment and live systems,Power and space but no hardware,Instant failover,Live data synchronisation,b,Power and space but no hardware
Digital Environments,7.6,Resilient Environments,A warm site includes:,No power,Partial equipment for faster recovery,Full duplication,Staff offices only,b,Partial equipment for faster recovery
Digital Environments,7.6,Resilient Environments,Standard operating procedures (SOPs) are important because:,They cause delays,Staff ignore them,They provide consistent guidance,They reduce training,c,They provide consistent guidance
Digital Environments,7.6,Resilient Environments,Effective staff training ensures:,Incorrect responses,Slow recovery,Correct action during incidents,Poor communication,c,Correct action during incidents
Digital Environments,7.6,Resilient Environments,Induction training helps resilience by:,Confusing new staff,Introducing policies and systems,Increasing downtime,Reducing understanding,b,Introducing policies and systems
Digital Environments,7.6,Resilient Environments,SOPs must be updated when:,New digital systems are introduced,Nothing has changed,Policies are removed,Training is cancelled,a,New digital systems are introduced
Digital Environments,7.6,Resilient Environments,Updated policies support resilience by:,Weakening controls,Ensuring compliance and secure practice,Allowing any access,Reducing clarity,b,Ensuring compliance and secure practice
Digital Environments,7.6,Resilient Environments,Resilience reduces risk by:,Expanding attack surfaces,Minimising weaknesses,Removing encryption,Disabling firewalls,b,Minimising weaknesses
Digital Environments,7.6,Resilient Environments,Customer trust increases when:,Systems frequently fail,Data is secure and services are reliable,Policies are ignored,Downtime rises,b,Data is secure and services are reliable
Digital Environments,7.6,Resilient Environments,Vulnerabilities increase when organisations:,Apply patches,Delay upgrades,Harden devices,Use redundancy,b,Delay upgrades
Digital Environments,7.6,Resilient Environments,Hardware replacement improves resilience by:,Keeping broken equipment,Preventing hardware-related outages,Reducing performance,Increasing failures,b,Preventing hardware-related outages
Digital Environments,7.6,Resilient Environments,Redundant systems allow:,Failures without service interruption,Services to shut down,Loss of all data,Slow recovery,a,Failures without service interruption
Digital Environments,7.6,Resilient Environments,Device hardening reduces:,Attack surface,Staff training,Authentication levels,Log retention,a,Attack surface
Digital Environments,7.6,Resilient Environments,Offsite backups are valuable because they:,Fail during local disasters,Survive site-wide failures,Must be stored nearby,Are read-only,b,Survive site-wide failures
Digital Environments,7.6,Resilient Environments,A benefit of cloud backups is:,Limited storage,Disaster-resistant remote access,Instant physical retrieval,No encryption controls,b,Disaster-resistant remote access
Digital Environments,7.6,Resilient Environments,Hot sites support resilience by:,Providing slow restoration,Enabling immediate continuation,Storing unused hardware,Offering low-cost options,b,Enabling immediate continuation
Digital Environments,7.6,Resilient Environments,Resilient organisations typically experience:,More downtime,Lower customer confidence,More stable operations,Less reliability,c,More stable operations
Digital Environments,7.3,Network Models,Which feature best distinguishes a client–server network model-,Equal nodes sharing resources,Centralised servers providing resources,Devices connected directly without roles,All processing done locally,b,client-server
Digital Environments,7.3,Network Models,A key benefit of client–server architecture in large networks is...,Perfect privacy,No need for servers,Centralised management and control,Guaranteed zero downtime,c,client-server
Digital Environments,7.3,Network Models,A major drawback of client–server systems is...,Server failure impacts many clients,Clients perform too much processing,No central management,It cannot handle large networks,a,client-server
Digital Environments,7.3,Network Models,"In a client–server model, servers typically...",Perform all processing locally,Request services from clients,Provide shared services and manage resources,Control only physical topology,c,client-server
Digital Environments,7.3,Network Models,Why does client–server architecture scale well for enterprise use-,Each device manages its own data,Resources can be upgraded independently of clients,No specialised hardware is needed,Traffic is always encrypted,b,client-server
Digital Environments,7.3,Network Models,A thin client relies heavily on...,A central server for processing,Local heavy computation,Peer devices for redundancy,Local GPU rendering,a,thin client
Digital Environments,7.3,Network Models,A benefit of thin client computing is...,High local processing power,Lower hardware costs and easier maintenance,Improved offline performance,Full application execution on device,b,thin client
Digital Environments,7.3,Network Models,A drawback of thin clients is...,Too much local storage needed,High hardware cost per client,Performance depends on server and network,Limited central control,c,thin client
Digital Environments,7.3,Network Models,Thin clients are most appropriate for...,Decentralised file-sharing,High-end graphical rendering tasks,Offline development work,Environments with many identical users,d,thin client
Digital Environments,7.3,Network Models,Why do thin clients reduce local attack surfaces-,Few applications are executed locally,Hardware is highest-end,All workloads run offline,Users install software freely,a,thin client
Digital Environments,7.3,Network Models,Which characteristic best defines a peer-to-peer network-,Processing is handled by data centres,A single central server controls access,Devices boot from a shared image,All nodes act as both clients and servers,d,peer-to-peer
Digital Environments,7.3,Network Models,A benefit of peer-to-peer networks is...,Full auditing,Strong central security,Guaranteed performance,Easy and quick to set up,d,peer-to-peer
Digital Environments,7.3,Network Models,A drawback of peer-to-peer networks is...,Weak centralised control,Very strong encryption,Consistent speeds,Scalable authentication,a,peer-to-peer
Digital Environments,7.3,Network Models,Peer-to-peer networks scale poorly because...,Traffic is always encrypted,Servers are too expensive,Each node must track many others,Clients have excessive power,c,peer-to-peer
Digital Environments,7.3,Network Models,P2P models are commonly used in...,WAN-level services,Enterprise authentication,Virtual desktop infrastructure,Small home or workgroups,d,network models
Digital Environments,7.3,Network Models,Which issue limits security in peer-to-peer networks-,Too many centralised firewalls,No central authority verifies access,Strict server roles,Encrypted storage by default,b,peer-to-peer
Digital Environments,7.3,Network Models,Which scenario best suits a client–server model-,An organisation with many users needing shared resources,Temporary small-group collaboration,Local file sharing among 2–3 devices,Offline task scheduling,a,client-server
Digital Environments,7.3,Network Models,Which scenario best suits a thin-client deployment-,Call centres using identical desktop environments,Distributed media hosting,Local gaming networks,Secure P2P research tasks,a,thin client
Digital Environments,7.3,Network Models,Which scenario best suits peer-to-peer-,Large authentication domains,Enterprise-level HR systems,Virtual desktop environments,Simple ad-hoc file sharing,d,peer-to-peer
Digital Environments,7.3,Network Models,Why are updates easier to manage in client–server systems-,Clients auto-update via P2P,Each client must be updated manually,Updates installed once on the server,Updates are unnecessary,c,client-server
Digital Environments,7.3,Network Models,Which technical issue can overload servers in a client–server model-,GPU contention,Local processing overload,High peer availability,Too many simultaneous client requests,d,client-server
Digital Environments,7.3,Network Models,Why is latency more visible in thin-client systems-,Thin clients use heavy GPUs,Processing occurs remotely,Servers run offline,Local caching prevents delays,b,thin client
Digital Environments,7.3,Network Models,Which factor makes peer-to-peer unsuitable for confidential data-,Servers enforce all rules,Strong central storage controls,Guaranteed perfect encryption,Data is stored on individual machines,d,peer-to-peer
Digital Environments,7.3,Network Models,Why do client–server systems offer better access control-,Traffic cannot be monitored,Clients prevent policy changes,Data is stored only locally,Policies can be enforced centrally,d,client-server
Digital Environments,7.3,Network Models,Which advantage do thin clients have over full PCs-,Lower power use and simpler hardware,More powerful GPUs,Full offline capability,Independent application installs,a,thin client
Digital Environments,7.3,Network Models,Why might a P2P network create inconsistent performance-,Servers enforce capacity,Traffic is strictly managed,Peers vary in capability and availability,QoS guarantees are built in,c,network models
Digital Environments,7.3,Network Models,Why does server centralisation improve backup reliability-,Backups run on each client separately,Clients store their own backups,Data resides on central servers,P2P sync replaces backups,c,network models
Digital Environments,7.3,Network Models,What is a disadvantage of centralised authentication services-,It makes systems fully redundant,It requires no maintenance,"If the authentication server fails, logins may fail",It eliminates client failures,c,network models
Digital Environments,7.3,Network Models,Which model reduces hardware costs the most-,Peer-to-peer models,Client–server systems,Thin clients,Hybrid clouds,c,network models
Digital Environments,7.3,Network Models,Which model produces the least predictable network traffic patterns-,Client-server networks,Peer-to-peer networks,Thin-client networks,Virtual machines,b,network models
Problem Solving,1.1.1,Algorithms,What is computational thinking-,A programming language,A problem-solving approach using logical steps,A computer hardware process,A networking method,b,A problem-solving approach using logical steps
Problem Solving,1.1.1,Algorithms,Which of the following is a key purpose of computational thinking-,To replace human thinking,To break down complex problems,To design graphics,To speed up hardware,b,To break down complex problems
Problem Solving,1.1.1,Algorithms,Computational thinking helps by:,Making problems more confusing,Structuring problems into manageable parts,Avoiding logical processes,Eliminating all errors,b,Structuring problems into manageable parts
Problem Solving,1.1.1,Algorithms,Decomposition in computational thinking means:,Joining problems together,Breaking problems into smaller parts,Ignoring complexity,Fixing bugs,b,Breaking problems into smaller parts
Problem Solving,1.1.1,Algorithms,Pattern recognition is used when:,Identifying similarities across problems,Erasing data,Randomly selecting solutions,Avoiding comparisons,a,Identifying similarities across problems
Problem Solving,1.1.1,Algorithms,Abstraction involves:,Removing unnecessary detail,Adding extra information,Focusing on everything equally,Ignoring key data,a,Removing unnecessary detail
Problem Solving,1.1.1,Algorithms,Algorithmic thinking involves:,Creating step-by-step instructions,Guessing solutions,Copying others’ methods,Avoiding planning,a,Creating step-by-step instructions
Problem Solving,1.1.1,Algorithms,When is computational thinking useful-,Only in computer science,In any complex problem requiring structure,Only when coding,Only during exams,b,In any complex problem requiring structure
Problem Solving,1.1.1,Algorithms,Computational thinking is especially helpful in:,Random decision-making,Systematic problem analysis,Ignoring constraints,Shortcut creation,b,Systematic problem analysis
Problem Solving,1.1.1,Algorithms,A drawback of computational thinking can be:,Too structured for creative tasks,Too random to follow,Always incorrect,Not applicable to computers,a,Too structured for creative tasks
Problem Solving,1.1.1,Algorithms,One benefit of computational thinking is:,Improved logical reasoning,Reduced accuracy,More errors,Less planning,a,Improved logical reasoning
Problem Solving,1.1.1,Algorithms,Computational thinking helps teams by:,Making collaboration harder,Providing a shared problem-solving framework,Reducing communication,Avoiding structure,b,Providing a shared problem-solving framework
Problem Solving,1.1.1,Algorithms,A drawback when overusing abstraction is:,Focusing on key details,Losing important information,Creating clearer designs,Simplifying solutions,b,Losing important information
Problem Solving,1.1.1,Algorithms,Computational thinking supports automation by:,Removing algorithms,Creating repeatable processes,Reducing logic,Ignoring rules,b,Creating repeatable processes
Problem Solving,1.1.1,Algorithms,When is computational thinking NOT appropriate-,When a problem needs clear logic,When dealing with purely emotional or subjective decisions,When analysing data,When designing algorithms,b,When dealing with purely emotional or subjective decisions
Problem Solving,1.1.1,Algorithms,Which component of computational thinking is best for designing reusable solutions-,Abstraction,Guesswork,Aesthetics,Coin flipping,a,Abstraction
Problem Solving,1.1.1,Algorithms,Pattern recognition reduces:,Repetition in solutions,Efficiency,Clarity,Accuracy,a,Repetition in solutions
Problem Solving,1.1.1,Algorithms,Algorithmic thinking is useful when:,A solution needs clear steps,A task is random,Logic is discouraged,Data is unavailable,a,A solution needs clear steps
Problem Solving,1.1.1,Algorithms,Computational thinking improves problem solving by:,Adding unnecessary complexity,Introducing structure and logic,Avoiding decisions,Removing planning,b,Introducing structure and logic
Problem Solving,1.1.1,Algorithms,A benefit of decomposition is:,Bigger problems become harder,Problems become easier to manage,Everything becomes random,Solutions become unclear,b,Problems become easier to manage
Problem Solving,1.1.4,Algorithms,What is decomposition in computational thinking-,Joining problems together,Breaking a problem into smaller parts,Ignoring detail,Random guessing,b,Breaking a problem into smaller parts
Problem Solving,1.1.4,Algorithms,A benefit of decomposition is:,Problems become harder,Each part becomes easier to understand,Everything becomes random,More errors occur,b,Each part becomes easier to understand
Problem Solving,1.1.4,Algorithms,Pattern recognition involves:,Spotting similarities and trends,Deleting repeated data,Ignoring relationships,Changing patterns,a,Spotting similarities and trends
Problem Solving,1.1.4,Algorithms,Pattern recognition helps by:,Increasing repetition,Allowing reuse of solutions,Removing structure,Avoiding logic,b,Allowing reuse of solutions
Problem Solving,1.1.4,Algorithms,Abstraction means:,Adding all data,Focusing only on important information,Random ordering,Storing everything,b,Focusing only on important information
Problem Solving,1.1.4,Algorithms,A drawback of abstraction is:,Reduced clarity,Too much detail included,Important details may be removed,Better structure,c,Important details may be removed
Problem Solving,1.1.4,Algorithms,Algorithmic design is used to:,Make random choices,Create step-by-step instructions,Confuse problems,Ignore processes,b,Create step-by-step instructions
Problem Solving,1.1.4,Algorithms,Algorithms must be:,Ambiguous,Clear and unambiguous,Random,Infinite,b,Clear and unambiguous
Problem Solving,1.1.4,Algorithms,Which component is best for simplifying complex problems-,Pattern recognition,Decomposition,Algorithmic design,Encryption,b,Decomposition
Problem Solving,1.1.4,Algorithms,Which component reduces duplication in solutions-,Abstraction,Pattern recognition,Guesswork,Iteration,b,Pattern recognition
Problem Solving,1.1.4,Algorithms,Abstraction helps programmers by:,Showing all details,Removing unnecessary details,Increasing complexity,Mixing steps,b,Removing unnecessary details
Problem Solving,1.1.4,Algorithms,Which best describes algorithmic thinking-,Choosing randomly,Designing logical sequences of steps,Avoiding structure,Using only visuals,b,Designing logical sequences of steps
Problem Solving,1.1.4,Algorithms,Decomposition is useful when:,Problems are too small,Problems are complex,Everything is obvious,The answer is known already,b,Problems are complex
Problem Solving,1.1.4,Algorithms,Pattern recognition often leads to:,New errors,Generalised solutions,Harder tasks,Slower programs,b,Generalised solutions
Problem Solving,1.1.4,Algorithms,Abstraction is essential when:,There is too much irrelevant information,Data is already simple,Nothing needs solving,All details matter,a,There is too much irrelevant information
Problem Solving,1.1.4,Algorithms,Algorithmic design outputs:,A completed program,A clear step-by-step plan,A random result,Only hardware,b,A clear step-by-step plan
Problem Solving,1.1.4,Algorithms,Which component helps create reusable solutions-,Guesswork,Pattern recognition,Overthinking,Repetition,b,Pattern recognition
Problem Solving,1.1.4,Algorithms,Which component directly supports automation-,Abstraction,Decomposition,Algorithmic design,Pattern recognition,c,Algorithmic design
Problem Solving,1.1.4,Algorithms,Complex systems benefit from:,Decomposition into modules,Ignoring structure,Removing order,Randomising processes,a,Decomposition into modules
Problem Solving,1.1.4,Algorithms,The four components of computational thinking include:,"Sorting, searching, comparing, calculating","Decomposition, pattern recognition, abstraction, algorithmic design","Memory, CPU, storage, input","Logic, maths, science, creativity",b,"Decomposition, pattern recognition, abstraction, algorithmic design"
Problem Solving,1.1.7,Algorithms,What is the primary purpose of decomposition in problem solving-,To simplify complex problems,To make problems harder,To remove parts of a problem,To avoid solving the problem,a,
Problem Solving,1.1.7,Algorithms,Which of the following best describes a ‘feature’ of a problem-,A key element or part of the problem,A random detail,Something unrelated,The final solution,a,
Problem Solving,1.1.7,Algorithms,Why is breaking a problem into smaller parts useful-,Smaller parts are easier to understand,It hides the problem,It avoids detail,It increases complexity,a,
Problem Solving,1.1.7,Algorithms,What does it mean to characterise an identified feature-,Describing it clearly,Ignoring it,Deleting it,Changing the problem,a,
Problem Solving,1.1.7,Algorithms,Which task is included in decomposition-,Identifying main features,Guessing the answer,Avoiding detail,Checking spelling,a,
Problem Solving,1.1.7,Algorithms,Decomposition helps problem solvers by...,Making problems easier to manage,Making problems larger,Removing important steps,Avoiding solutions,a,
Problem Solving,1.1.7,Algorithms,"When identifying main features of a problem, what should you focus on-",Important aspects of the problem,Unrelated facts,Personal opinions,Random guesses,a,
Problem Solving,1.1.7,Algorithms,Which of the following is an example of decomposition-,Splitting a program into modules,Writing everything in one line,Ignoring steps,Finishing without planning,a,
Problem Solving,1.1.7,Algorithms,Breaking a solution into smaller steps helps because...,Each step becomes clearer,It confuses the process,It adds unnecessary work,It hides the method,a,
Problem Solving,1.1.7,Algorithms,What is the first step in decomposition-,Identify main features,Write the full solution first,Guess the output,Start coding immediately,a,
Problem Solving,1.1.7,Algorithms,Characterising a feature means...,Explaining what it is and what it does,Deleting it,Ignoring it,Assuming it works,a,
Problem Solving,1.1.7,Algorithms,A large complex task becomes easier when...,It is broken into smaller parts,It is made more complex,Steps are removed,It becomes unclear,a,
Problem Solving,1.1.7,Algorithms,Which best describes ‘manageable parts’-,Steps that are easy to understand and work with,Random tasks,Unrelated jobs,Parts that are impossible,a,
Problem Solving,1.1.7,Algorithms,Why do digital problem-solvers use decomposition-,It improves clarity and efficiency,It increases confusion,It removes accuracy,It makes tasks impossible,a,
Problem Solving,1.1.7,Algorithms,Which of the following is *not* part of decomposition-,Adding unnecessary detail,Breaking tasks down,Identifying features,Characterising features,b,
Problem Solving,1.1.7,Algorithms,Decomposition is especially useful when...,Problems are large and complex,Problems are tiny,Solutions already exist,Nothing needs solving,a,
Problem Solving,1.1.7,Algorithms,Repeat the same step,Focus on what matters,Add random details,Avoid structure,Identifying the main features of a problem helps you...,d,
Problem Solving,1.1.7,Algorithms,Which statement about decomposition is true-,It supports clear problem analysis,It makes solutions less reliable,It removes structure,It avoids planning,a,
Problem Solving,1.1.7,Algorithms,Breaking solutions into parts allows...,Better testing and improvement,Hiding errors,Removing essential steps,Avoiding planning,a,
Problem Solving,1.1.7,Algorithms,Decomposition supports problem solving by...,"Helping people understand, plan, and solve problems",Making tasks confusing,Removing key features,Avoiding thinking,a,
Digital Environments,7.1.1,Types of Hardware,What is a key benefit of personal computers-,Low portability,High performance,Low storage,Always server-based,b,personal computer
Digital Environments,7.1.1,Types of Hardware,Which is a common issue with personal computers-,Low power use,High mobility,Hardware failures,Built-in sensors,c,personal computer
Digital Environments,7.1.1,Types of Hardware,What is a typical use of a personal computer-,Hosting websites,Industrial automation,Office tasks,Traffic control,c,personal computer
Digital Environments,7.1.1,Types of Hardware,Personal computers are best suited for...,General-purpose tasks,High redundancy,Industrial control,Low-power sensors,a,personal computer
Digital Environments,7.1.1,Types of Hardware,A limitation of personal computers is...,High mobility,Limited portability,Always online,Built-in automation,b,personal computer
Digital Environments,7.1.1,Types of Hardware,Which device is an example of a mobile device-,Server rack,Smartphone,Washing machine controller,Desktop tower,b,mobile device
Digital Environments,7.1.1,Types of Hardware,A benefit of mobile devices is...,Fixed installation,High heat output,Full redundancy,Portability,d,mobile device
Digital Environments,7.1.1,Types of Hardware,A common issue with mobile devices is...,High redundancy,High expandability,Short battery life,Low power use,c,mobile device
Digital Environments,7.1.1,Types of Hardware,Mobile devices are typically used for...,Communication,Hosting services,Industrial control,Running networks,a,mobile device
Digital Environments,7.1.1,Types of Hardware,Smartphones and tablets are classified as...,Mobile devices,Servers,Embedded systems,Personal computers,a,mobile device
Digital Environments,7.1.1,Types of Hardware,What is a main benefit of servers-,Full mobility,Touchscreen use,Low storage,High reliability,d,server
Digital Environments,7.1.1,Types of Hardware,Servers are typically used for...,Personal budgeting,Gaming,Hosting services,Photo editing,c,server
Digital Environments,7.1.1,Types of Hardware,A common issue with servers is...,Physical buttons,Touchscreens,Battery limits,Overheating risks,d,server
Digital Environments,7.1.1,Types of Hardware,Servers are designed to...,Portable computing,Touch interaction,Run multiple services,Consumer tasks,c,server
Digital Environments,7.1.1,Types of Hardware,A limitation of servers is...,Full mobility,Touchscreen,High cost,Always battery powered,c,server
Digital Environments,7.1.1,Types of Hardware,Embedded devices are used in...,Servers,Appliances,Laptops,Desktops,b,embedded device
Digital Environments,7.1.1,Types of Hardware,A key benefit of embedded devices is...,Portability,High redundancy,High expandability,Low power use,d,embedded device
Digital Environments,7.1.1,Types of Hardware,A limitation of embedded devices is...,Touch interfaces,High expandability,Limited flexibility,Full redundancy,c,embedded device
Digital Environments,7.1.1,Types of Hardware,Embedded devices are commonly found in...,Household devices,High-end servers,Gaming rigs,Data centres,a,embedded device
Digital Environments,7.1.1,Types of Hardware,Embedded devices are designed for...,Single-task automation,General-purpose computing,Hosting services,Full OS use,a,embedded device
Digital Environments,7.1.1,Types of Hardware,Which describes personal computers-,Single-purpose,Industrial control,Service hosting,"General-purpose, user-focused",d,personal computer
Digital Environments,7.1.1,Types of Hardware,Which describes mobile devices-,Portable and sensor-based,Server-grade hardware,Industrial automation,Single-purpose only,a,mobile device
Digital Environments,7.1.1,Types of Hardware,Which describes servers-,High redundancy and hosting,Touchscreen use,General consumer tasks,Small automation tasks,a,server
Digital Environments,7.1.1,Types of Hardware,Which describes embedded devices-,Server-grade,General-purpose,Touch enabled,Single-function and embedded,d,embedded device
Digital Environments,7.1.1,Types of Hardware,A personal computer is typically used for...,Traffic control,Hosting networks,Industrial automation,Web browsing,d,personal computer
Digital Environments,7.1.1,Types of Hardware,Mobile devices are useful because...,Built-in automation,Redundancy,High heat output,Portability,d,mobile device
Digital Environments,7.1.1,Types of Hardware,Servers support organisations by...,Gaming,Touch usage,General consumer tasks,Managing networks,d,server
Digital Environments,7.1.1,Types of Hardware,Embedded devices support tasks by...,Hosting websites,Automation tasks,Photo editing,Web browsing,b,embedded device
Digital Environments,7.1.1,Types of Hardware,Which is a benefit of personal computers-,Industrial hosting,Limited sensors,Flexibility,Single tasks,c,personal computer
Digital Environments,7.1.1,Types of Hardware,Which is an issue with mobile devices-,High expandability,High redundancy,Battery drain,Always wired,c,mobile device
Digital Environments,7.1.1,Types of Hardware,Which is an advantage of servers-,Small screens,High uptime,General browsing,Automation,b,server
Digital Environments,7.1.1,Types of Hardware,Which is a disadvantage of embedded devices-,Touchscreen use,High redundancy,Limited flexibility,Portability,c,embedded device
Digital Environments,7.1.1,Types of Hardware,Personal computers often provide...,Industrial grade,Always portable,Built-in sensors,High customisation,d,personal computer
Digital Environments,7.1.1,Types of Hardware,Mobile devices often provide...,Hosting data,Touch usage,Industrial automation,Gaming,b,mobile device
Digital Environments,7.1.1,Types of Hardware,Servers often provide...,Single automation,Touch interaction,Portable tasks,Centralised hosting,d,server
